lane,method,case_name,num_users,num_satellites,seed,runtime_seconds,cache_used,cache_key,step_b_position_error_m,step3_position_error_m,step_b_sync_error_s,step3_sync_error_s,position_ratio,sync_ratio,position_improved,sync_improved,both_improved,catastrophic,accepted,fallback_to_step_b,failure_flag,chosen_alpha,nis,nullspace_ratio,clock_position_update_ratio,update_norm,position_update_norm,clock_update_norm,current_total_objective,final_total_objective,current_residual_cost,final_residual_cost,current_prior_cost,final_prior_cost,truth_state_used_for_acceptance,truth_state_used_for_covariance,truth_state_used_for_diagnostics
block_covariance,covariance_k100,Nu3_Ns8,3,8,240531,0.0,True,5f1218f45bb8aecf,0.12311443474554039,0.22344326290587627,1.540065000506638e-10,2.1195086300465353e-10,1.814923354582271,1.3762462164579266,False,False,False,False,True,False,False,0.25,2.295754147879994e-07,4.4436707641912114e-15,0.6368331326801145,0.0008918824572260592,0.0007522868617791812,0.00047908119886092834,58.55476535768001,51.25210147134284,58.55476535768001,51.25210145699438,0.0,1.434846179089786e-08,False,False,True
block_covariance,covariance_k100,Nu7_Ns8,7,8,241540,0.0,True,f0f8ecc6229e9ee4,0.003683121387316592,0.003683121387316592,5.437602220622302e-12,5.437602220622302e-12,1.0,1.0,False,False,False,False,False,True,False,0.0,18.12808472931081,1.3845649833601601e-08,0.5416700915550106,0.00012030283312282068,0.00010578116299256137,5.7298492242976204e-05,119.05954814200008,119.05954814200008,119.05954814200008,119.05954814200008,0.0,0.0,False,False,True
block_covariance,covariance_k100,Nu7_Ns12,7,12,242549,0.0,True,7b2ce6860a62157a,0.003832706462878729,0.003832706462878729,1.4047133276473746e-11,1.4047133276473746e-11,1.0,1.0,False,False,False,False,False,True,False,0.0,16.748133622473567,4.535271837641454e-09,0.6371529125602555,0.00013708426852176596,0.0001156113691229759,7.366212056178289e-05,168.04529231451252,168.04529231451252,168.04529231451252,168.04529231451252,0.0,0.0,False,False,True
clock_drift,measurement_lambda10,Nu3_Ns8,3,8,240531,0.0,True,794fe2ca23430302,0.12311443474554039,0.17298842764552552,1.540065000506638e-10,2.2184466016602873e-10,1.405102724169326,1.440488941006049,False,False,False,False,True,False,False,1.0,0.8303442190819076,6.750946398128571e-10,0.7456420730418849,0.0002138617677676131,0.0001714473804563938,0.0001278383801811062,5.855476535768001,0.8274247532513518,5.855476535768001,0.827423118692265,0.0,1.6345590867765865e-06,False,False,True
clock_drift,measurement_lambda10,Nu7_Ns8,7,8,241540,0.0,True,669a4b42c14ce7dc,0.003683121387316592,0.004279314649539642,5.437602220622302e-12,5.836438806191613e-12,1.1618717385411557,1.0733478782351362,False,False,False,False,True,False,False,1.0,4.524777033393511,1.0443925408136726e-08,0.661462289455457,1.826936974453443e-05,1.5237536200482578e-05,1.0079055580831612e-05,11.90595481420001,7.252410164725777,11.90595481420001,7.2524101545647195,0.0,1.0161057965192118e-08,False,False,True
clock_drift,measurement_lambda10,Nu7_Ns12,7,12,242549,0.0,True,05f01829cd56652f,0.003832706462878729,0.0018056589086579517,1.4047133276473746e-11,1.4047133540868676e-11,0.4711184971107152,1.0000000188219849,True,False,False,False,True,False,False,1.0,6.920817012755695,2.1035731049982664e-08,0.4983659037806304,1.643590399276947e-05,1.4710322094496841e-05,7.331122965528094e-06,16.804529231451255,9.159979006327145,16.804529231451255,9.159979000950445,0.0,5.376700329316306e-09,False,False,True
gauge_nullspace,nullspace_line_search,Nu3_Ns8,3,8,240531,0.0,True,57eaa79a6eb399cf,0.12311443474554039,0.14960628018096164,1.540065000506638e-10,1.8022649350460035e-10,1.2151806609044344,1.1702525117141869,False,False,False,False,True,False,False,1.0,5.670547790708106,7.819141988258349e-10,0.7431958350624311,0.0001348814769296546,0.00010825772136172474,8.0456687629383e-05,58.55476535768001,8.642318114836039,58.55476535768001,8.642317467390983,0.0,6.474450557712032e-07,False,False,True
gauge_nullspace,nullspace_line_search,Nu7_Ns8,7,8,241540,0.0,True,e19f99b2133ff980,0.003683121387316592,0.007409284501819856,5.437602220622302e-12,9.22530079605491e-12,2.0116862092395036,1.6965751487057337,False,False,False,True,True,False,False,1.0,33.46226083546858,4.4438155835260784e-09,0.615978900226342,2.0322918458766886e-05,1.7303590964248156e-05,1.0658646932124048e-05,119.05954814200008,95.48854481262349,119.05954814200008,95.48854480125982,0.0,1.1363669585161347e-08,False,False,True
gauge_nullspace,nullspace_line_search,Nu7_Ns12,7,12,242549,0.0,True,9ea0eb9e2d55924a,0.003832706462878729,0.014693403381116967,1.4047133276473746e-11,1.824744202897896e-11,3.8336886801607073,1.2990153698861764,False,False,False,True,True,False,False,1.0,31.416829010493508,3.920250011114873e-09,0.6897477880081425,5.148475300479287e-05,4.238107239276185e-05,2.923225093632044e-05,168.04529231451252,125.35545318844119,168.04529231451252,125.35545310297078,0.0,8.547041103333538e-08,False,False,True
schur_nuisance_clock,clock_position_line_search,Nu3_Ns8,3,8,240531,0.0,True,7d556506ff7f8016,0.12311443474554039,0.14960628018096164,1.540065000506638e-10,1.8022649350460035e-10,1.2151806609044344,1.1702525117141869,False,False,False,False,True,False,False,1.0,5.670547790708106,7.819141988258349e-10,0.7431958350624311,0.0001348814769296546,0.00010825772136172474,8.0456687629383e-05,58.55476535768001,8.642318114836039,58.55476535768001,8.642317467390983,0.0,6.474450557712032e-07,False,False,True
schur_nuisance_clock,clock_position_line_search,Nu7_Ns8,7,8,241540,0.0,True,cfd0c3bd2ee1ce55,0.003683121387316592,0.007409284501819856,5.437602220622302e-12,9.22530079605491e-12,2.0116862092395036,1.6965751487057337,False,False,False,True,True,False,False,1.0,33.46226083546858,4.4438155835260784e-09,0.615978900226342,2.0322918458766886e-05,1.7303590964248156e-05,1.0658646932124048e-05,119.05954814200008,95.48854481262349,119.05954814200008,95.48854480125982,0.0,1.1363669585161347e-08,False,False,True
schur_nuisance_clock,clock_position_line_search,Nu7_Ns12,7,12,242549,0.0,True,5d5613de36dc9a65,0.003832706462878729,0.014693403381116967,1.4047133276473746e-11,1.824744202897896e-11,3.8336886801607073,1.2990153698861764,False,False,False,True,True,False,False,1.0,31.416829010493508,3.920250011114873e-09,0.6897477880081425,5.148475300479287e-05,4.238107239276185e-05,2.923225093632044e-05,168.04529231451252,125.35545318844119,168.04529231451252,125.35545310297078,0.0,8.547041103333538e-08,False,False,True
robust_measurement,huber_line_search,Nu3_Ns8,3,8,240531,0.0,True,5902ae4926123697,0.12311443474554039,0.15004575329355097,1.540065000506638e-10,1.7616902785845027e-10,1.2187502919838253,1.143906444211742,False,False,False,False,True,False,False,1.0,5.167433298554725,7.17968647911912e-10,0.7468204909526859,0.000125748274330713,0.00010075217492747793,7.524378874388996e-05,45.29860392085332,8.345876691504543,45.29860392085332,8.345876125240258,0.0,5.66264284460727e-07,False,False,True
robust_measurement,huber_line_search,Nu7_Ns8,7,8,241540,0.0,True,875080a8b2546024,0.003683121387316592,0.0073193259310887285,5.437602220622302e-12,9.005858489982533e-12,1.9872616624295845,1.6562187016599872,False,False,False,False,True,False,False,1.0,28.206943532397883,1.8327385366064664e-08,0.6120179502224729,1.9885729111504584e-05,1.6961283954016637e-05,1.0380610238678581e-05,99.27186965083071,84.69014421798468,99.27186965083071,84.6901442072061,0.0,1.0778583744132385e-08,False,False,True
robust_measurement,huber_line_search,Nu7_Ns12,7,12,242549,0.0,True,2dc48602e59b1792,0.003832706462878729,0.006824289136689353,1.4047133276473746e-11,1.4047133452522929e-11,1.7805405143298294,1.0000000125327482,False,False,False,False,True,False,False,1.0,30.30585230737494,8.362138430113843e-09,0.644542259172854,2.753054323292261e-05,2.314034652330035e-05,1.4914931226170706e-05,140.11076876258488,98.64623316060846,140.11076876258488,98.64623313835759,0.0,2.2250872104521395e-08,False,False,True
solver_mechanics,line_search,Nu3_Ns8,3,8,240531,0.0,True,9d756e3c76d9825a,0.12311443474554039,0.14960628018096164,1.540065000506638e-10,1.8022649350460035e-10,1.2151806609044344,1.1702525117141869,False,False,False,False,True,False,False,1.0,5.670547790708106,7.819141988258349e-10,0.7431958350624311,0.0001348814769296546,0.00010825772136172474,8.0456687629383e-05,58.55476535768001,8.642318114836039,58.55476535768001,8.642317467390983,0.0,6.474450557712032e-07,False,False,True
solver_mechanics,line_search,Nu7_Ns8,7,8,241540,0.0,True,6ed037d68a8e62a7,0.003683121387316592,0.007409284501819856,5.437602220622302e-12,9.22530079605491e-12,2.0116862092395036,1.6965751487057337,False,False,False,True,True,False,False,1.0,33.46226083546858,4.4438155835260784e-09,0.615978900226342,2.0322918458766886e-05,1.7303590964248156e-05,1.0658646932124048e-05,119.05954814200008,95.48854481262349,119.05954814200008,95.48854480125982,0.0,1.1363669585161347e-08,False,False,True
solver_mechanics,line_search,Nu7_Ns12,7,12,242549,0.0,True,121e03a7585eec70,0.003832706462878729,0.014693403381116967,1.4047133276473746e-11,1.824744202897896e-11,3.8336886801607073,1.2990153698861764,False,False,False,True,True,False,False,1.0,31.416829010493508,3.920250011114873e-09,0.6897477880081425,5.148475300479287e-05,4.238107239276185e-05,2.923225093632044e-05,168.04529231451252,125.35545318844119,168.04529231451252,125.35545310297078,0.0,8.547041103333538e-08,False,False,True
