accepted_update_count,blockwise_clipping_enabled,both_improved,cache_status,case_name,clock_drift_clip_scale,clock_drift_clipped,clock_drift_update_norm,clock_only,common_clock_update_component,description,drift_variance_km2_per_s2,dynamics_cost,full_ladder_run,grid,include_drift_state,jacobian_nullity,jacobian_rank,manuscript_ready,max_clock_drift_update_km_per_s,max_position_update_km,max_satellite_clock_update_km,max_ue_clock_update_km,measurement_sigma_km,medium_validation,name,network_size_graph,not_for_manuscript_submission,nullspace_update_norm,nullspace_update_ratio,num_satellites,num_users,objective_after,objective_before,objective_decreased,position_clip_scale,position_clipped,position_hurt_but_sync_helped,position_improved,position_ratio,position_update_norm,position_variance_km2,prior_cost,project_common_clock,raw_common_clock_update_component,rejected_update_count,residual_cost_after,residual_cost_before,runtime_seconds,satellite_clock_bias_update_norm,satellite_clock_clip_scale,satellite_clock_clipped,satellite_clock_variance_km2,schur_eliminate_clocks,schur_nuisance_dimension,schur_reduced_dimension,schur_reduced_rank,step3_position_error_m,step3_sync_error_km,step3_sync_error_s,step_b_position_error_m,step_b_sync_error_km,step_b_sync_error_s,sync_hurt_but_position_helped,sync_improved,sync_ratio,truth_state_used_for_acceptance,truth_state_used_for_covariance,truth_state_used_for_diagnostics,ue_clock_bias_update_norm,ue_clock_clip_scale,ue_clock_clipped,ue_clock_variance_km2,variant,variant_description
1,False,True,not_used_deterministic_sparse,Nu3_Ns8,1.0,False,0.0004902659079728183,False,1.908674294764299e-05,Typed position/clock/drift covariance blocks with clock drift state.,1.4399999999999998e-06,0.0,False,sparse,True,0,26,False,,,,,0.00025,False,block_scaled_drift_base,False,True,0.0,0.0,8,3,0.22590994947251053,4704.37678229791,True,1.0,False,False,True,0.054237779987946926,0.00401326588170029,0.04000000000000001,0.19833633268921247,False,1.908674294764299e-05,0,0.027573616783298074,4704.37678229791,0.01600000000325963,0.0002036477637545658,1.0,False,6.25e-06,False,0,0,0,0.12938190055863952,0.00010463447067098656,3.490230253590521e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.4793732693993227,False,False,True,0.0003903601212560583,1.0,False,6.25e-06,block_scaled_drift_base,Typed position/clock/drift covariance blocks with clock drift state.
1,False,True,not_used_deterministic_sparse,Nu3_Ns8,1.0,False,0.00037894135484991626,False,4.7433845046240816e-21,V1 plus common-clock/gauge update projection.,1.4399999999999998e-06,0.0,False,sparse,True,0,26,False,,,,,0.00025,False,block_scaled_drift_common_clock_projected,False,True,0.0,0.0,8,3,0.6568428768782005,4704.37678229791,True,1.0,False,False,True,0.054237779987946926,0.00401326588170029,0.04000000000000001,0.13055614799507997,True,1.908674294764299e-05,0,0.5262867288831206,4704.37678229791,0.015000000013969839,0.0002451690142766529,1.0,False,6.25e-06,False,0,0,0,0.12938190055863952,0.0001322831912995553,4.4124923015760224e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.6060433573486529,False,False,True,0.0003606973146897552,1.0,False,6.25e-06,block_scaled_drift_common_clock_projected,V1 plus common-clock/gauge update projection.
1,True,True,not_used_deterministic_sparse,Nu3_Ns8,1.0,False,0.0004902659079728183,False,1.908674294764299e-05,V1 plus blockwise update clipping.,1.4399999999999998e-06,0.0,False,sparse,True,0,26,False,0.001,0.01,0.0015,0.0015,0.00025,False,block_scaled_drift_blockwise_update_clip,False,True,0.0,0.0,8,3,0.22590994947251053,4704.37678229791,True,1.0,False,False,True,0.054237779987946926,0.00401326588170029,0.04000000000000001,0.19833633268921247,False,1.908674294764299e-05,0,0.027573616783298074,4704.37678229791,0.0,0.0002036477637545658,1.0,False,6.25e-06,False,0,0,0,0.12938190055863952,0.00010463447067098656,3.490230253590521e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.4793732693993227,False,False,True,0.0003903601212560583,1.0,False,6.25e-06,block_scaled_drift_blockwise_update_clip,V1 plus blockwise update clipping.
1,False,True,not_used_deterministic_sparse,Nu3_Ns8,1.0,False,0.00036972290193449097,False,1.6738059089087862e-05,V1 with stronger clock-bias and drift priors.,2.5e-07,0.0,False,sparse,True,0,26,False,,,,,0.00025,False,block_scaled_drift_strong_clock_prior,False,True,0.0,0.0,8,3,0.9586029154025393,4704.37678229791,True,1.0,False,False,True,0.0673803622730013,0.0039860189447849794,0.04000000000000001,0.7328202219947392,False,1.6738059089087862e-05,0,0.22578269340780008,4704.37678229791,0.01600000000325963,0.0001922961990747808,1.0,False,1e-06,False,0,0,0,0.1607329675578146,0.00013193401805049887,4.400845135687132e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.6044436520038122,False,False,True,0.0003855711196147632,1.0,False,1e-06,block_scaled_drift_strong_clock_prior,V1 with stronger clock-bias and drift priors.
1,False,True,not_used_deterministic_sparse,Nu3_Ns8,1.0,False,0.0005491432113129688,False,1.0750725602287809e-05,V1 with looser clock-bias and drift priors.,9e-06,0.0,False,sparse,True,0,26,False,,,,,0.00025,False,block_scaled_drift_loose_clock_prior,False,True,0.0,0.0,8,3,0.04343011507135175,4704.37678229791,True,1.0,False,False,True,0.036869903506100456,0.004057992577505672,0.04000000000000001,0.03976879024840786,False,1.0750725602287809e-05,0,0.0036613248229438863,4704.37678229791,0.0,0.0002587478731170318,1.0,False,3.6e-05,False,0,0,0,0.08795157526899165,7.668535242380952e-05,2.5579480196199443e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.3513269372005725,False,False,True,0.00037904135340676695,1.0,False,3.6e-05,block_scaled_drift_loose_clock_prior,V1 with looser clock-bias and drift priors.
1,False,True,not_used_deterministic_sparse,Nu3_Ns8,1.0,False,0.0,False,8.131516293641283e-21,Typed covariance without drift state plus common-clock projection.,0.0,0.0,False,sparse,False,0,16,False,,,,,0.00025,False,block_scaled_no_drift_common_clock_projected,False,True,0.0,0.0,8,3,3.1806924727315513,4731.338531918863,True,1.0,False,False,True,0.07674722388945975,0.00395853542214459,0.04000000000000001,0.03486452116897853,True,1.540351001886042e-05,0,3.145827951562573,4731.338531918863,0.01600000000325963,0.0002538250730655939,1.0,False,6.25e-06,False,0,0,0,0.18307721465783383,0.000132791222748662,4.42943840664137e-10,2.3854571589654223,0.00020120708050330168,6.711545775554557e-10,False,True,0.659972911571981,False,False,True,0.00038862276267519815,1.0,False,6.25e-06,block_scaled_no_drift_common_clock_projected,Typed covariance without drift state plus common-clock projection.
1,False,True,not_used_deterministic_sparse,Nu3_Ns8,1.0,False,0.0,False,1.5403510018696148e-05,Block-scaled Schur/reduced solve treating clocks as nuisance variables.,0.0,0.0,False,sparse,False,0,16,False,,,,,0.00025,False,schur_nuisance_clock_reduced_block_scaled,False,True,0.0,0.0,8,3,3.1463730567278976,4731.338531918863,True,1.0,False,False,True,0.07674722388939273,0.003958535422144725,0.04000000000000001,0.03524415016242538,False,1.5403510018696148e-05,0,3.1111289065654724,4731.338531918863,0.015000000013969839,0.0002213263575769928,1.0,False,6.25e-06,True,10,6,6,0.18307721465767396,0.00014203332875983317,4.737721879575542e-10,2.3854571589654223,0.00020120708050330168,6.711545775554557e-10,False,True,0.7059062156488201,False,False,True,0.0004109040569729158,1.0,False,6.25e-06,schur_nuisance_clock_reduced_block_scaled,Block-scaled Schur/reduced solve treating clocks as nuisance variables.
0,False,False,not_used_deterministic_sparse,Nu3_Ns8,1.0,False,0.0004902659079728183,True,1.908674294764299e-05,Freeze Step-B positions and refine only clock bias/drift.,1.4399999999999998e-06,0.0,False,sparse,True,0,26,False,,,,,0.00025,False,clock_only_step3_after_step_b,False,True,0.0,0.0,8,3,4756.8599684862975,4704.37678229791,False,1.0,False,False,False,1.0,0.0,0.04000000000000001,0.19793367511328197,False,1.908674294764299e-05,1,4756.662034811185,4704.37678229791,0.01600000000325963,0.0002036477637545658,1.0,False,6.25e-06,False,0,0,0,2.3854571589654223,0.00010463447067098656,3.490230253590521e-10,2.3854571589654223,0.00021827347778923613,7.28081951245205e-10,False,True,0.4793732693993227,False,False,True,0.0003903601212560583,1.0,False,6.25e-06,clock_only_step3_after_step_b,Freeze Step-B positions and refine only clock bias/drift.
1,False,True,not_used_deterministic_sparse,Nu7_Ns8,1.0,False,0.0005915244609881539,False,2.0436214129909722e-05,Typed position/clock/drift covariance blocks with clock drift state.,1.4399999999999998e-06,0.0,False,sparse,True,0,42,False,,,,,0.00025,False,block_scaled_drift_base,False,True,0.0,0.0,8,7,0.32491419102561986,9723.814253278037,True,1.0,False,False,True,0.06165560267124894,0.00605568635295103,0.04000000000000001,0.3118423857132262,False,2.0436214129909722e-05,0,0.013071805312393641,9723.814253278037,0.030999999959021807,0.00026974220511685466,1.0,False,6.25e-06,False,0,0,0,0.1359677750856713,6.993990891207563e-05,2.332944243449768e-10,2.2052785017877277,0.00023825529852167685,7.947341307754875e-10,False,True,0.2935502771440459,False,False,True,0.0005931743475422759,1.0,False,6.25e-06,block_scaled_drift_base,Typed position/clock/drift covariance blocks with clock drift state.
1,False,True,not_used_deterministic_sparse,Nu7_Ns8,1.0,False,0.0005562812415338961,False,5.808225924029488e-21,V1 plus common-clock/gauge update projection.,1.4399999999999998e-06,0.0,False,sparse,True,0,42,False,,,,,0.00025,False,block_scaled_drift_common_clock_projected,False,True,0.0,0.0,8,7,1.2693443313458879,9723.814253278037,True,1.0,False,False,True,0.06165560267124894,0.00605568635295103,0.04000000000000001,0.2828149522876538,True,2.0436214129909722e-05,0,0.9865293790582341,9723.814253278037,0.0470000000204891,0.000310553896517755,1.0,False,6.25e-06,False,0,0,0,0.1359677750856713,5.8959650325964625e-05,1.966682241417982e-10,2.2052785017877277,0.00023825529852167685,7.947341307754875e-10,False,True,0.24746417264084636,False,False,True,0.0005677376130658055,1.0,False,6.25e-06,block_scaled_drift_common_clock_projected,V1 plus common-clock/gauge update projection.
1,True,True,not_used_deterministic_sparse,Nu7_Ns8,1.0,False,0.0005915244609881539,False,2.0436214129909722e-05,V1 plus blockwise update clipping.,1.4399999999999998e-06,0.0,False,sparse,True,0,42,False,0.001,0.01,0.0015,0.0015,0.00025,False,block_scaled_drift_blockwise_update_clip,False,True,0.0,0.0,8,7,0.32491419102561986,9723.814253278037,True,1.0,False,False,True,0.06165560267124894,0.00605568635295103,0.04000000000000001,0.3118423857132262,False,2.0436214129909722e-05,0,0.013071805312393641,9723.814253278037,0.061999999976251274,0.00026974220511685466,1.0,False,6.25e-06,False,0,0,0,0.1359677750856713,6.993990891207563e-05,2.332944243449768e-10,2.2052785017877277,0.00023825529852167685,7.947341307754875e-10,False,True,0.2935502771440459,False,False,True,0.0005931743475422759,1.0,False,6.25e-06,block_scaled_drift_blockwise_update_clip,V1 plus blockwise update clipping.
1,False,True,not_used_deterministic_sparse,Nu7_Ns8,1.0,False,0.0005572129647332522,False,2.3493916098779145e-05,V1 with stronger clock-bias and drift priors.,2.5e-07,0.0,False,sparse,True,0,42,False,,,,,0.00025,False,block_scaled_drift_strong_clock_prior,False,True,0.0,0.0,8,7,1.7650607264677822,9723.814253278037,True,1.0,False,False,True,0.07399351045813918,0.006053968866394648,0.04000000000000001,1.6739872694618736,False,2.3493916098779145e-05,0,0.09107345700590856,9723.814253278037,0.03200000000651926,0.0002648559239742667,1.0,False,1e-06,False,0,0,0,0.1631762978851397,7.60285675109687e-05,2.5360400331007894e-10,2.2052785017877277,0.00023825529852167685,7.947341307754875e-10,False,True,0.3191054636883616,False,False,True,0.0006008137758527568,1.0,False,1e-06,block_scaled_drift_strong_clock_prior,V1 with stronger clock-bias and drift priors.
1,False,True,not_used_deterministic_sparse,Nu7_Ns8,1.0,False,0.0006029118896843911,False,1.2693241351700636e-05,V1 with looser clock-bias and drift priors.,9e-06,0.0,False,sparse,True,0,42,False,,,,,0.00025,False,block_scaled_drift_loose_clock_prior,False,True,0.0,0.0,8,7,0.0598380067831742,9723.814253278037,True,1.0,False,False,True,0.033723534353458984,0.00605262033136534,0.04000000000000001,0.054010468034823775,False,1.2693241351700636e-05,0,0.005827538748350426,9723.814253278037,0.031000000017229468,0.00034382450889716877,1.0,False,3.6e-05,False,0,0,0,0.074369785313983,4.698619006474575e-05,1.5672905975755317e-10,2.2052785017877277,0.00023825529852167685,7.947341307754875e-10,False,True,0.19720942348936207,False,False,True,0.0005823914301017588,1.0,False,3.6e-05,block_scaled_drift_loose_clock_prior,V1 with looser clock-bias and drift priors.
1,False,True,not_used_deterministic_sparse,Nu7_Ns8,1.0,False,0.0,False,3.8721506160196585e-21,Typed covariance without drift state plus common-clock projection.,0.0,0.0,False,sparse,False,0,28,False,,,,,0.00025,False,block_scaled_no_drift_common_clock_projected,False,True,0.0,0.0,8,7,17.442946409773654,9618.192169241012,True,1.0,False,False,True,0.06740970762011829,0.006052014015828283,0.04000000000000001,0.10732116711009902,True,3.0702451260402565e-05,0,17.335625242663554,9618.192169241012,0.031000000017229468,0.00044255091434623853,1.0,False,6.25e-06,False,0,0,0,0.14865717902644324,7.56286433094518e-05,2.5226999976581064e-10,2.2052785017877277,0.0002217597529154505,7.397109133260802e-10,False,True,0.34103863444637966,False,False,True,0.0006849693669369173,1.0,False,6.25e-06,block_scaled_no_drift_common_clock_projected,Typed covariance without drift state plus common-clock projection.
1,False,True,not_used_deterministic_sparse,Nu7_Ns8,1.0,False,0.0,False,3.070245126049837e-05,Block-scaled Schur/reduced solve treating clocks as nuisance variables.,0.0,0.0,False,sparse,False,0,28,False,,,,,0.00025,False,schur_nuisance_clock_reduced_block_scaled,False,True,0.0,0.0,8,7,17.123166863493477,9618.192169241012,True,1.0,False,False,True,0.0674097076208252,0.006052014015828278,0.04000000000000001,0.1094326818600317,False,3.070245126049837e-05,0,17.013734181633446,9618.192169241012,0.030999999959021807,0.0003781565709942308,1.0,False,6.25e-06,True,14,14,14,0.14865717902800216,8.373542842270151e-05,2.7931132417848056e-10,2.2052785017877277,0.0002217597529154505,7.397109133260802e-10,False,True,0.37759524585431425,False,False,True,0.0007315934119657021,1.0,False,6.25e-06,schur_nuisance_clock_reduced_block_scaled,Block-scaled Schur/reduced solve treating clocks as nuisance variables.
1,False,False,not_used_deterministic_sparse,Nu7_Ns8,1.0,False,0.0005915244609881539,True,2.0436214129909722e-05,Freeze Step-B positions and refine only clock bias/drift.,1.4399999999999998e-06,0.0,False,sparse,True,0,42,False,,,,,0.00025,False,clock_only_step3_after_step_b,False,True,0.0,0.0,8,7,9080.528527974719,9723.814253278037,True,1.0,False,False,False,1.0,0.0,0.04000000000000001,0.3109256022830933,False,2.0436214129909722e-05,0,9080.217602372435,9723.814253278037,0.0470000000204891,0.00026974220511685466,1.0,False,6.25e-06,False,0,0,0,2.2052785017877277,6.993990891207563e-05,2.332944243449768e-10,2.2052785017877277,0.00023825529852167685,7.947341307754875e-10,False,True,0.2935502771440459,False,False,True,0.0005931743475422759,1.0,False,6.25e-06,clock_only_step3_after_step_b,Freeze Step-B positions and refine only clock bias/drift.
1,False,True,not_used_deterministic_sparse,Nu7_Ns12,1.0,False,0.0006081417707276893,False,5.519839947716499e-05,Typed position/clock/drift covariance blocks with clock drift state.,1.4399999999999998e-06,0.0,False,sparse,True,0,50,False,,,,,0.00025,False,block_scaled_drift_base,False,True,0.0,0.0,12,7,0.36509161549837593,13730.644662631734,True,1.0,False,False,True,0.04013501040929905,0.0060719368918529795,0.04000000000000001,0.352293894796079,False,5.519839947716499e-05,0,0.01279772070229698,13730.644662631734,0.09399999998277053,0.0004885058016204497,1.0,False,6.25e-06,False,0,0,0,0.08850887562465387,5.6430465084641535e-05,1.8823177027569364e-10,2.2052785017877277,0.0002272804957279902,7.581261291369453e-10,False,True,0.24828555967326663,False,False,True,0.0005935027109712136,1.0,False,6.25e-06,block_scaled_drift_base,Typed position/clock/drift covariance blocks with clock drift state.
1,False,True,not_used_deterministic_sparse,Nu7_Ns12,1.0,False,0.0005627958067722512,False,1.5058363506743118e-20,V1 plus common-clock/gauge update projection.,1.4399999999999998e-06,0.0,False,sparse,True,0,50,False,,,,,0.00025,False,block_scaled_drift_common_clock_projected,False,True,0.0,0.0,12,7,2.857366867476145,13730.644662631734,True,1.0,False,False,True,0.04013501040929905,0.0060719368918529795,0.04000000000000001,0.3066458082119015,True,5.519839947716499e-05,0,2.5507210592642435,13730.644662631734,0.06300000002374873,0.0005013255290219131,1.0,False,6.25e-06,False,0,0,0,0.08850887562465387,5.580616380979156e-05,1.861493253769298e-10,2.2052785017877277,0.0002272804957279902,7.581261291369453e-10,False,True,0.24553872795393977,False,False,True,0.0005335846330347087,1.0,False,6.25e-06,block_scaled_drift_common_clock_projected,V1 plus common-clock/gauge update projection.
1,True,True,not_used_deterministic_sparse,Nu7_Ns12,1.0,False,0.0006081417707276893,False,5.519839947716499e-05,V1 plus blockwise update clipping.,1.4399999999999998e-06,0.0,False,sparse,True,0,50,False,0.001,0.01,0.0015,0.0015,0.00025,False,block_scaled_drift_blockwise_update_clip,False,True,0.0,0.0,12,7,0.36509161549837593,13730.644662631734,True,1.0,False,False,True,0.04013501040929905,0.0060719368918529795,0.04000000000000001,0.352293894796079,False,5.519839947716499e-05,0,0.01279772070229698,13730.644662631734,0.061999999976251274,0.0004885058016204497,1.0,False,6.25e-06,False,0,0,0,0.08850887562465387,5.6430465084641535e-05,1.8823177027569364e-10,2.2052785017877277,0.0002272804957279902,7.581261291369453e-10,False,True,0.24828555967326663,False,False,True,0.0005935027109712136,1.0,False,6.25e-06,block_scaled_drift_blockwise_update_clip,V1 plus blockwise update clipping.
1,False,True,not_used_deterministic_sparse,Nu7_Ns12,1.0,False,0.0005669827938053628,False,5.902392987200095e-05,V1 with stronger clock-bias and drift priors.,2.5e-07,0.0,False,sparse,True,0,50,False,,,,,0.00025,False,block_scaled_drift_strong_clock_prior,False,True,0.0,0.0,12,7,1.9981836216703046,13730.644662631734,True,1.0,False,False,True,0.04653561666318704,0.006073127293070133,0.04000000000000001,1.8975306447317952,False,5.902392987200095e-05,0,0.10065297693850948,13730.644662631734,0.07800000003771856,0.0004994646710239237,1.0,False,1e-06,False,0,0,0,0.10262399499476113,5.85076618914148e-05,1.951605530096918e-10,2.2052785017877277,0.0002272804957279902,7.581261291369453e-10,False,True,0.2574249132289684,False,False,True,0.0006010537924075309,1.0,False,1e-06,block_scaled_drift_strong_clock_prior,V1 with stronger clock-bias and drift priors.
1,False,True,not_used_deterministic_sparse,Nu7_Ns12,1.0,False,0.0006246874801277783,False,4.536927869845624e-05,V1 with looser clock-bias and drift priors.,9e-06,0.0,False,sparse,True,0,50,False,,,,,0.00025,False,block_scaled_drift_loose_clock_prior,False,True,0.0,0.0,12,7,0.06561912165738017,13730.644662631734,True,1.0,False,False,True,0.024367399357664247,0.006061763271783312,0.04000000000000001,0.06098392677822028,False,4.536927869845624e-05,0,0.00463519487915989,13730.644662631734,0.046999999962281436,0.0005136967310022702,1.0,False,3.6e-05,False,0,0,0,0.05373690194793305,4.0876457919243166e-05,1.3634918700737685e-10,2.2052785017877277,0.0002272804957279902,7.581261291369453e-10,False,True,0.17985026734614395,False,False,True,0.0005809722581097231,1.0,False,3.6e-05,block_scaled_drift_loose_clock_prior,V1 with looser clock-bias and drift priors.
1,False,True,not_used_deterministic_sparse,Nu7_Ns12,1.0,False,0.0,False,3.0116727013486233e-21,Typed covariance without drift state plus common-clock projection.,0.0,0.0,False,sparse,False,0,32,False,,,,,0.00025,False,block_scaled_no_drift_common_clock_projected,False,True,0.0,0.0,12,7,21.346864582513223,13597.253325128659,True,1.0,False,False,True,0.047804100234360845,0.006073208170710537,0.04000000000000001,0.1278544097427007,True,6.794754904937051e-05,0,21.219010172770524,13597.253325128659,0.06300000002374873,0.0006200685686367361,1.0,False,6.25e-06,False,0,0,0,0.10542135454414164,6.761864330310375e-05,2.2555151571926388e-10,2.2052785017877277,0.00021224762761652447,7.07981878638603e-10,False,True,0.31858374137058826,False,False,True,0.0006394074822432649,1.0,False,6.25e-06,block_scaled_no_drift_common_clock_projected,Typed covariance without drift state plus common-clock projection.
1,False,True,not_used_deterministic_sparse,Nu7_Ns12,1.0,False,0.0,False,6.794754904925065e-05,Block-scaled Schur/reduced solve treating clocks as nuisance variables.,0.0,0.0,False,sparse,False,0,32,False,,,,,0.00025,False,schur_nuisance_clock_reduced_block_scaled,False,True,0.0,0.0,12,7,19.7801547014861,13597.253325128659,True,1.0,False,False,True,0.04780410023433254,0.006073208170710528,0.04000000000000001,0.14115099367755238,False,6.794754904925065e-05,0,19.63900370780855,13597.253325128659,0.061999999976251274,0.0005799123334005157,1.0,False,6.25e-06,True,18,14,14,0.10542135454407923,7.01023234293532e-05,2.338361808600042e-10,2.2052785017877277,0.00021224762761652447,7.07981878638603e-10,False,True,0.33028554531601,False,False,True,0.0007349369315272391,1.0,False,6.25e-06,schur_nuisance_clock_reduced_block_scaled,Block-scaled Schur/reduced solve treating clocks as nuisance variables.
