arrays_npz,bounds_reportability_status_raw,cache_status,candidate_diagnostic,clock_sigma_ns,clock_sigma_seconds,clock_subspace_estimable,condition_number,convergence_boolean,covariance_method,crlb_clock_ns,crlb_full_rank,crlb_position_m,crlb_status,elapsed_time_s,failure_reason,failure_recorded,fim_rank,fim_saved,graph_average_degree,graph_connected_components,human_signoff_required,jcls_applicable,log10_condition_number,manuscript_ready,measurement_vector_saved,non_final,not_for_manuscript_submission,num_satellites,num_users,product,random_seed,rank_deficiency,row_id,runtime_seconds,satellite_geometry_id,scenario_metadata,single_ue_baseline_only,sl_edge_probability,stage_a_position_by_ue_m,stage_a_position_rmse_m,stage_a_status,stage_a_success,stage_b_position_by_ue_m,stage_b_position_rmse_m,stage_b_status,stage_b_success,stage_b_sync_error_km,stage_b_sync_error_ns,stage_c_position_by_ue_m,stage_c_position_rmse_m,stage_c_status,stage_c_success,stage_c_sync_error_km,stage_c_sync_error_ns,stage_c_used,state_dimension,trial_id,ue_position_subspace_estimable,ue_positions_saved
outputs/wave_results/clock_tolerance/cache/clock_tolerance_nu3_ns8_p1p0_c1e-10_t0.npz,finite_crlb,hit,True,0.1,1e-10,True,36110541327.780655,False,inverse,2886.3768533034495,True,3820.2729768912127,finite_crlb,,none,False,19,True,2.0,1,True,True,10.557633998919927,False,True,True,True,8,3,clock_tolerance,200000,0,clock_tolerance_nu3_ns8_p1p0_c1e-10_t0,0.06199999999989814,seed200000_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00018456429187427718, 'dl_range_sigma_km_min': 0.00017244741994186603, 'dl_range_sigma_m_max': 0.18456429187427717, 'dl_range_sigma_m_min': 0.17244741994186602, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00018456429187427718, 'range_sigma_km_min': 8.205801754069594e-05, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': 0.00013243650874016292, 'sl_range_sigma_km_min': 8.205801754069594e-05, 'sl_range_sigma_m_max': 0.1324365087401629, 'sl_range_sigma_m_min': 0.08205801754069594, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 20.23889649753312, 'snr_db_min': 16.081162438941377}, 'sl_graph': {'average_degree': 2.0, 'connected_component_count': 1, 'connected_components': [[1, 2, 3]], 'directed_sl_measurement_count': 6, 'graph_connected': True, 'possible_undirected_edges': 3, 'sl_edge_probability': 1.0, 'undirected_edge_count': 3}, 'sl_undirected_edges': [[1, 2], [1, 3], [2, 3]]}",False,1.0,0.9852713192418415;0.27192371140544225;0.39037617795139884,0.6316897016882607,converged,True,1453.154584818514;1453.8083440126238;1453.4157486451497,1453.4595839937135,updated_not_converged,False,0.29911368439730485,997.7358549737261,1453.1631803358584;1453.8169399004437;1453.4243448158104,1453.468179852198,updated,True,0.2991148961894755,997.7398970773158,True,19,0,True,True
outputs/wave_results/clock_tolerance/cache/clock_tolerance_nu3_ns8_p1p0_c1e-10_t1.npz,finite_crlb,hit,True,0.1,1e-10,True,2373478607837.0,False,pinv,2114.611221542361,True,3257.774152599752,finite_crlb,,none,False,19,True,2.0,1,True,True,12.375385321775797,False,True,True,True,8,3,clock_tolerance,200001,0,clock_tolerance_nu3_ns8_p1p0_c1e-10_t1,0.09400000000005093,seed200001_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00018458059247440084, 'dl_range_sigma_km_min': 0.00017244167479441686, 'dl_range_sigma_m_max': 0.18458059247440084, 'dl_range_sigma_m_min': 0.17244167479441685, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00018458059247440084, 'range_sigma_km_min': 1.832703659469686e-05, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': 0.00010567106068007537, 'sl_range_sigma_km_min': 1.832703659469686e-05, 'sl_range_sigma_m_max': 0.10567106068007537, 'sl_range_sigma_m_min': 0.01832703659469686, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 33.25947196750789, 'snr_db_min': 18.042195574115368}, 'sl_graph': {'average_degree': 2.0, 'connected_component_count': 1, 'connected_components': [[1, 2, 3]], 'directed_sl_measurement_count': 6, 'graph_connected': True, 'possible_undirected_edges': 3, 'sl_edge_probability': 1.0, 'undirected_edge_count': 3}, 'sl_undirected_edges': [[1, 2], [1, 3], [2, 3]]}",False,1.0,0.38530056839447435;0.8921369497730964;0.6973277931777866,0.6905627937399444,converged,True,1336.9732855056063;1337.1952819537034;1336.9909446921165,1337.053174512719,updated_not_converged,False,0.4007440916290137,1336.7384033023732,1336.9733806802983;1337.195376652625;1336.9910402658136,1337.0532696617993,updated,True,0.4007440912003471,1336.7384018724952,True,19,1,True,True
outputs/wave_results/clock_tolerance/cache/clock_tolerance_nu3_ns8_p1p0_c1e-10_t2.npz,finite_crlb,hit,True,0.1,1e-10,True,533020872306.5599,False,inverse,3477.193018778577,True,5726.764020888962,finite_crlb,,none,False,19,True,2.0,1,True,True,11.726744215687136,False,True,True,True,8,3,clock_tolerance,200002,0,clock_tolerance_nu3_ns8_p1p0_c1e-10_t2,0.09400000000005093,seed200002_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00018458883740641937, 'dl_range_sigma_km_min': 0.00017245364550539752, 'dl_range_sigma_m_max': 0.18458883740641938, 'dl_range_sigma_m_min': 0.17245364550539752, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00018458883740641937, 'range_sigma_km_min': 2.6088609209260243e-05, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': 0.00014658572597442402, 'sl_range_sigma_km_min': 2.6088609209260243e-05, 'sl_range_sigma_m_max': 0.146585725974424, 'sl_range_sigma_m_min': 0.026088609209260243, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 30.19229836095208, 'snr_db_min': 15.199483263671766}, 'sl_graph': {'average_degree': 2.0, 'connected_component_count': 1, 'connected_components': [[1, 2, 3]], 'directed_sl_measurement_count': 6, 'graph_connected': True, 'possible_undirected_edges': 3, 'sl_edge_probability': 1.0, 'undirected_edge_count': 3}, 'sl_undirected_edges': [[1, 2], [1, 3], [2, 3]]}",False,1.0,0.5827948310628001;0.8560260906521416;0.22780223153126175,0.6121885166301115,converged,True,1468.7389574508761;1468.6927871177281;1468.6210216332313,1468.6842562021925,updated_not_converged,False,0.15253814767704377,508.812492130952,1468.7896116308452;1468.7434401955477;1468.6716759741496,1468.7349100683962,updated,True,0.15254235017596368,508.82651015844993,True,19,2,True,True
outputs/wave_results/clock_tolerance/cache/clock_tolerance_nu3_ns8_p1p0_c1e-09_t0.npz,finite_crlb,hit,True,1.0,1e-09,True,26836202770.234512,True,inverse,2034.3502055438892,True,3051.307958994847,finite_crlb,,none,False,19,True,2.0,1,True,True,10.428721064678763,False,True,True,True,8,3,clock_tolerance,200101,0,clock_tolerance_nu3_ns8_p1p0_c1e-09_t0,0.06199999999989814,seed200101_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00018746463612820597, 'dl_range_sigma_km_min': 0.00017243541380913477, 'dl_range_sigma_m_max': 0.18746463612820596, 'dl_range_sigma_m_min': 0.17243541380913477, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00018746463612820597, 'range_sigma_km_min': 7.339589264959385e-05, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': 0.0001603699688930145, 'sl_range_sigma_km_min': 7.339589264959385e-05, 'sl_range_sigma_m_max': 0.1603699688930145, 'sl_range_sigma_m_min': 0.07339589264959384, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 21.207881772417423, 'snr_db_min': 14.418856008927179}, 'sl_graph': {'average_degree': 2.0, 'connected_component_count': 1, 'connected_components': [[1, 2, 3]], 'directed_sl_measurement_count': 6, 'graph_connected': True, 'possible_undirected_edges': 3, 'sl_edge_probability': 1.0, 'undirected_edge_count': 3}, 'sl_undirected_edges': [[1, 2], [1, 3], [2, 3]]}",False,1.0,0.9384730511863254;0.3573951601793088;0.6891601225174111,0.7031843387502261,converged,True,1691.8675015635122;1691.6511591196186;1692.1385238105734,1691.885739912848,converged,True,0.333812004122107,1113.4769912127242,1691.8675015635968;1691.6511591197034;1692.1385238105734,1691.8857399129047,updated_with_clock_fallback,True,0.333812004122107,1113.4769912127242,True,19,0,True,True
outputs/wave_results/clock_tolerance/cache/clock_tolerance_nu3_ns8_p1p0_c1e-09_t1.npz,finite_crlb,hit,True,1.0,1e-09,True,21274284922.60666,True,inverse,1911.315921768479,True,3662.746632415267,finite_crlb,,none,False,19,True,2.0,1,True,True,10.327854971370716,False,True,True,True,8,3,clock_tolerance,200102,0,clock_tolerance_nu3_ns8_p1p0_c1e-09_t1,0.06199999999989814,seed200102_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.0001845798570230147, 'dl_range_sigma_km_min': 0.00017242470992256335, 'dl_range_sigma_m_max': 0.18457985702301472, 'dl_range_sigma_m_min': 0.17242470992256334, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.0001845798570230147, 'range_sigma_km_min': 0.0001205213195571417, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': 0.00017971497810391975, 'sl_range_sigma_km_min': 0.0001205213195571417, 'sl_range_sigma_m_max': 0.17971497810391976, 'sl_range_sigma_m_min': 0.1205213195571417, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 19.809926740887192, 'snr_db_min': 13.429631422021856}, 'sl_graph': {'average_degree': 2.0, 'connected_component_count': 1, 'connected_components': [[1, 2, 3]], 'directed_sl_measurement_count': 6, 'graph_connected': True, 'possible_undirected_edges': 3, 'sl_edge_probability': 1.0, 'undirected_edge_count': 3}, 'sl_undirected_edges': [[1, 2], [1, 3], [2, 3]]}",False,1.0,0.4384187356466291;1.3973769183448157;0.8375968121524863,0.974070781038156,converged,True,1067.2052112497238;1067.6944609481432;1067.546109469107,1067.4819468731919,converged,True,0.18419174917978892,614.3975415812126,1067.205211422054;1067.6944611201059;1067.5461096411452,1067.4819470453021,updated,True,0.18419174919422907,614.3975416293797,True,19,1,True,True
outputs/wave_results/clock_tolerance/cache/clock_tolerance_nu3_ns8_p1p0_c1e-09_t2.npz,finite_crlb,hit,True,1.0,1e-09,True,385078067395.29926,False,inverse,3636.3338149235115,True,7037.246709034185,finite_crlb,,none,False,19,True,2.0,1,True,True,11.585548783539766,False,True,True,True,8,3,clock_tolerance,200103,0,clock_tolerance_nu3_ns8_p1p0_c1e-09_t2,0.07799999999997453,seed200103_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00018743350511151274, 'dl_range_sigma_km_min': 0.00017243317015625548, 'dl_range_sigma_m_max': 0.18743350511151274, 'dl_range_sigma_m_min': 0.17243317015625548, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00018743350511151274, 'range_sigma_km_min': 4.136218723113674e-05, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': 0.00010509110342786777, 'sl_range_sigma_km_min': 4.136218723113674e-05, 'sl_range_sigma_m_max': 0.10509110342786776, 'sl_range_sigma_m_min': 0.041362187231136736, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 26.189246984768886, 'snr_db_min': 18.089997867503698}, 'sl_graph': {'average_degree': 2.0, 'connected_component_count': 1, 'connected_components': [[1, 2, 3]], 'directed_sl_measurement_count': 6, 'graph_connected': True, 'possible_undirected_edges': 3, 'sl_edge_probability': 1.0, 'undirected_edge_count': 3}, 'sl_undirected_edges': [[1, 2], [1, 3], [2, 3]]}",False,1.0,0.904448727350548;1.311673409019521;0.9199074002863336,1.0621902305200135,converged,True,1318.9429510444122;1318.8712986997482;1319.756827595511,1319.1904202488067,updated_not_converged,False,0.3299588462510708,1100.6242400236458,1318.9692139241238;1318.897563977046;1319.783096354531,1319.2166858869143,updated,True,0.32996284394153935,1100.6375748836863,True,19,2,True,True
outputs/wave_results/clock_tolerance/cache/clock_tolerance_nu3_ns8_p1p0_c1e-08_t0.npz,finite_crlb,hit,True,10.0,1e-08,True,387306690138.96814,False,inverse,3040.165744371553,True,4873.862433876094,finite_crlb,,none,False,19,True,2.0,1,True,True,11.588054998833082,False,True,True,True,8,3,clock_tolerance,200202,0,clock_tolerance_nu3_ns8_p1p0_c1e-08_t0,0.07900000000017826,seed200202_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.0001874590697070226, 'dl_range_sigma_km_min': 0.00017242936630455373, 'dl_range_sigma_m_max': 0.1874590697070226, 'dl_range_sigma_m_min': 0.17242936630455374, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.0001874590697070226, 'range_sigma_km_min': 2.5909211743994265e-05, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': 0.00013799067166052911, 'sl_range_sigma_km_min': 2.5909211743994265e-05, 'sl_range_sigma_m_max': 0.1379906716605291, 'sl_range_sigma_m_min': 0.025909211743994263, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 30.252232902005304, 'snr_db_min': 15.724322337170875}, 'sl_graph': {'average_degree': 2.0, 'connected_component_count': 1, 'connected_components': [[1, 2, 3]], 'directed_sl_measurement_count': 6, 'graph_connected': True, 'possible_undirected_edges': 3, 'sl_edge_probability': 1.0, 'undirected_edge_count': 3}, 'sl_undirected_edges': [[1, 2], [1, 3], [2, 3]]}",False,1.0,6.0006472417154395;5.977212726045025;5.662658840233141,5.882191893978872,converged,True,2200.618591359096;2200.760702348517;2200.870987994534,2200.75009632571,updated_not_converged,False,0.40030543025030507,1335.2751864434997,2200.6512019669426;2200.793311486439;2200.903602105979,2200.782707611474,updated,True,0.4003109375976693,1335.2935569769047,True,19,0,True,True
outputs/wave_results/clock_tolerance/cache/clock_tolerance_nu3_ns8_p1p0_c1e-08_t1.npz,finite_crlb,hit,True,10.0,1e-08,True,116440660076.1449,False,inverse,3005.364460995117,True,5471.547157020152,finite_crlb,,none,False,19,True,2.0,1,True,True,11.066104658692355,False,True,True,True,8,3,clock_tolerance,200203,0,clock_tolerance_nu3_ns8_p1p0_c1e-08_t1,0.07799999999997453,seed200203_synthetic_visible_leo,"{'clock_drift_reference': '0.5 ppm over 15 s gives 7.5 us, approximately 2.25 km range-domain bias', 'geometry_model': 'manuscript_candidate_mit_stata_synthetic_leo', 'noise': {'beta_interpretation': 'bandwidth_as_rms_bandwidth', 'dl_bandwidth_hz': 20000000.0, 'dl_frequency_hz': 2200000000.0, 'dl_range_sigma_km_max': 0.00018461682139282715, 'dl_range_sigma_km_min': 0.00017243000377032463, 'dl_range_sigma_m_max': 0.18461682139282715, 'dl_range_sigma_m_min': 0.17243000377032464, 'dl_receive_antenna_gain_db': 3.0, 'dl_transmit_antenna_gain_db': 20.0, 'dl_transmit_power_dbm': 55.0, 'implementation_loss_db': 0.0, 'link_budget_model': 'free_space_path_loss_beta_snr_toa', 'noise_density_dbm_per_hz': -174.0, 'range_sigma_km_max': 0.00018461682139282715, 'range_sigma_km_min': 6.790650590505537e-05, 'receiver_noise_figure_db': 5.0, 'sigma_scale': 1.0, 'sl_bandwidth_hz': 40000000.0, 'sl_frequency_hz': 5900000000.0, 'sl_range_sigma_km_max': 0.0001252369306508202, 'sl_range_sigma_km_min': 6.790650590505537e-05, 'sl_range_sigma_m_max': 0.1252369306508202, 'sl_range_sigma_m_min': 0.06790650590505537, 'sl_receive_antenna_gain_db': 3.0, 'sl_transmit_antenna_gain_db': 3.0, 'sl_transmit_power_dbm': 20.0, 'snr_db_max': 21.883089215426338, 'snr_db_min': 16.566668603420766}, 'sl_graph': {'average_degree': 2.0, 'connected_component_count': 1, 'connected_components': [[1, 2, 3]], 'directed_sl_measurement_count': 6, 'graph_connected': True, 'possible_undirected_edges': 3, 'sl_edge_probability': 1.0, 'undirected_edge_count': 3}, 'sl_undirected_edges': [[1, 2], [1, 3], [2, 3]]}",False,1.0,5.67857013929178;3.3973993953181307;3.959345567443538,4.452149248793555,converged,True,2509.536753424332;2508.946268815067;2510.1499558469077,2509.544374146219,updated_not_converged,False,0.6023081867053686,2009.0838532881592,2509.549101973027;2508.9586172435556;2510.162306657618,2509.5567234088053,updated,True,0.6023095920172458,2009.0885409040068,True,19,1,True,True
